bikeid,ride_count(次),total_distance(km),avg_distance(km),total_duration(min),avg_duration(min)
100163,1,0.73,0.73,4.0,4.0
100167,2,3.45,1.73,31.0,15.5
100168,1,2.12,2.12,14.0,14.0
100175,1,0.49,0.49,5.0,5.0
100182,1,0.67,0.67,4.0,4.0
100190,1,0.7,0.7,7.0,7.0
100195,1,0.5,0.5,4.0,4.0
100197,1,0.38,0.38,3.0,3.0
100202,1,3.9,3.9,46.0,46.0
100203,1,1.67,1.67,11.0,11.0
100204,1,8.17,8.17,60.0,60.0
100208,1,1.17,1.17,10.0,10.0
100210,1,3.02,3.02,22.0,22.0
100212,1,0.91,0.91,5.0,5.0
100214,4,4.77,1.19,44.0,11.0
100221,2,2.02,1.01,14.0,7.0
100227,1,1.69,1.69,22.0,22.0
100229,2,0.77,0.39,10.0,5.0
100237,2,1.56,0.78,16.0,8.0
100239,2,3.22,1.61,26.0,13.0
100240,1,0.22,0.22,11.0,11.0
100242,2,1.5,0.75,13.0,6.5
100243,1,1.96,1.96,32.0,32.0
100248,1,0.67,0.67,4.0,4.0
100257,1,0.15,0.15,114.0,114.0
100259,1,1.01,1.01,7.0,7.0
100268,1,1.24,1.24,14.0,14.0
100272,3,10.75,3.58,73.0,24.33
100276,1,0.36,0.36,3.0,3.0
100278,2,1.25,0.63,10.0,5.0
100293,3,3.29,1.1,30.0,10.0
100295,1,4.3,4.3,63.0,63.0
100297,1,0.49,0.49,5.0,5.0
100308,1,0.67,0.67,11.0,11.0
100323,1,0.96,0.96,6.0,6.0
100325,1,1.93,1.93,14.0,14.0
100328,3,1.63,0.54,20.0,6.67
100336,1,0.77,0.77,7.0,7.0
100339,1,0.59,0.59,4.0,4.0
100345,3,6.75,2.25,58.0,19.33
100346,2,1.35,0.67,16.0,8.0
100349,1,0.29,0.29,4.0,4.0
100350,3,5.04,1.68,101.0,33.67
100357,1,0.48,0.48,36.0,36.0
100363,1,0.8,0.8,6.0,6.0
100372,1,3.25,3.25,23.0,23.0
100375,1,1.09,1.09,15.0,15.0
100376,1,2.51,2.51,13.0,13.0
100383,1,1.1,1.1,10.0,10.0
100384,2,2.47,1.24,39.0,19.5
100387,1,2.01,2.01,49.0,49.0
100388,2,1.04,0.52,15.0,7.5
100390,1,0.58,0.58,5.0,5.0
100394,1,0.49,0.49,7.0,7.0
100401,1,0.77,0.77,17.0,17.0
100408,1,1.05,1.05,8.0,8.0
100418,3,1.62,0.54,13.0,4.33
100434,1,0.38,0.38,4.0,4.0
100437,1,0.72,0.72,16.0,16.0
100440,1,1.49,1.49,14.0,14.0
100447,1,1.44,1.44,14.0,14.0
100448,1,0.78,0.78,10.0,10.0
100449,1,1.0,1.0,6.0,6.0
100463,1,1.07,1.07,8.0,8.0
100464,1,2.1,2.1,15.0,15.0
100471,3,1.47,0.49,20.0,6.67
100475,2,7.08,3.54,61.0,30.5
100477,1,0.69,0.69,15.0,15.0
100478,1,0.5,0.5,2.0,2.0
100480,3,8.1,2.7,53.0,17.67
100483,1,1.31,1.31,9.0,9.0
100485,1,0.79,0.79,10.0,10.0
100490,1,0.83,0.83,7.0,7.0
100492,1,1.24,1.24,8.0,8.0
100499,1,0.62,0.62,7.0,7.0
100501,1,0.45,0.45,10.0,10.0
100516,1,0.22,0.22,31.0,31.0
100519,2,0.78,0.39,7.0,3.5
100521,2,4.49,2.24,42.0,21.0
100526,1,1.57,1.57,13.0,13.0
100532,1,0.58,0.58,18.0,18.0
100533,1,1.01,1.01,9.0,9.0
100539,2,0.91,0.46,7.0,3.5
100541,3,2.4,0.8,14.0,4.67
100542,1,0.58,0.58,4.0,4.0
100547,1,0.94,0.94,12.0,12.0
100554,1,0.69,0.69,12.0,12.0
100567,1,0.72,0.72,7.0,7.0
100573,2,2.36,1.18,35.0,17.5
100581,1,1.07,1.07,9.0,9.0
100583,2,1.02,0.51,12.0,6.0
100584,2,4.66,2.33,49.0,24.5
100591,1,1.05,1.05,7.0,7.0
100593,1,1.73,1.73,15.0,15.0
100594,1,1.71,1.71,13.0,13.0
100596,1,4.3,4.3,26.0,26.0
100598,1,0.36,0.36,2.0,2.0
100600,2,1.03,0.52,17.0,8.5
100601,1,1.24,1.24,10.0,10.0
100602,1,1.52,1.52,14.0,14.0
100605,1,1.52,1.52,16.0,16.0
100607,3,4.73,1.58,31.0,10.33
100611,1,0.15,0.15,26.0,26.0
100614,1,1.1,1.1,8.0,8.0
100618,1,0.4,0.4,4.0,4.0
100619,2,2.16,1.08,23.0,11.5
100623,1,2.82,2.82,15.0,15.0
100625,1,2.74,2.74,48.0,48.0
100628,1,1.17,1.17,9.0,9.0
100630,4,2.75,0.69,19.0,4.75
100631,1,0.24,0.24,40.0,40.0
100634,2,1.68,0.84,15.0,7.5
100639,3,6.31,2.1,49.0,16.33
100644,1,1.49,1.49,25.0,25.0
100648,1,1.44,1.44,14.0,14.0
100650,1,1.79,1.79,13.0,13.0
100651,1,0.91,0.91,6.0,6.0
100658,1,0.86,0.86,15.0,15.0
100660,1,0.78,0.78,30.0,30.0
100667,1,3.03,3.03,18.0,18.0
100668,1,1.67,1.67,21.0,21.0
100669,2,5.07,2.54,26.0,13.0
100673,2,2.02,1.01,47.0,23.5
100675,2,0.8,0.4,10.0,5.0
100677,4,3.35,0.84,30.0,7.5
100678,1,3.14,3.14,20.0,20.0
100681,5,5.76,1.15,45.0,9.0
100684,1,0.66,0.66,6.0,6.0
100688,1,0.15,0.15,56.0,56.0
100689,3,3.32,1.11,44.0,14.67
100690,1,0.77,0.77,6.0,6.0
100693,3,8.62,2.87,64.0,21.33
100695,1,0.53,0.53,4.0,4.0
100696,4,9.58,2.4,86.0,21.5
100698,1,1.41,1.41,12.0,12.0
100701,1,2.25,2.25,18.0,18.0
100702,1,0.31,0.31,20.0,20.0
100705,2,1.82,0.91,49.0,24.5
100711,1,0.79,0.79,6.0,6.0
100714,1,2.01,2.01,10.0,10.0
100715,1,1.44,1.44,11.0,11.0
100720,1,1.11,1.11,12.0,12.0
100722,1,1.07,1.07,6.0,6.0
100723,1,0.5,0.5,4.0,4.0
100725,1,0.45,0.45,4.0,4.0
100732,1,0.96,0.96,8.0,8.0
100733,1,0.58,0.58,11.0,11.0
100736,1,0.94,0.94,7.0,7.0
100737,1,0.96,0.96,9.0,9.0
100743,1,1.01,1.01,6.0,6.0
100744,1,2.39,2.39,18.0,18.0
100745,1,1.68,1.68,16.0,16.0
100747,1,1.23,1.23,13.0,13.0
100749,1,1.74,1.74,18.0,18.0
100752,3,11.77,3.92,82.0,27.33
100757,1,1.32,1.32,7.0,7.0
100758,1,1.11,1.11,7.0,7.0
100766,1,0.58,0.58,6.0,6.0
100773,1,1.73,1.73,13.0,13.0
100776,2,3.0,1.5,34.0,17.0
100780,1,3.33,3.33,19.0,19.0
100782,2,1.07,0.53,9.0,4.5
100783,3,3.03,1.01,28.0,9.33
100794,1,0.8,0.8,6.0,6.0
100795,1,1.46,1.46,10.0,10.0
100802,4,12.22,3.05,84.0,21.0
100803,1,1.46,1.46,11.0,11.0
100817,1,0.88,0.88,7.0,7.0
100819,2,0.7,0.35,25.0,12.5
100824,1,0.74,0.74,7.0,7.0
100827,1,1.23,1.23,8.0,8.0
100829,1,0.5,0.5,12.0,12.0
100833,1,0.87,0.87,8.0,8.0
100835,1,1.9,1.9,31.0,31.0
100838,1,0.44,0.44,4.0,4.0
100840,5,9.41,1.88,123.0,24.6
100843,2,6.38,3.19,55.0,27.5
100845,1,0.91,0.91,7.0,7.0
100849,1,6.76,6.76,49.0,49.0
100850,1,1.31,1.31,11.0,11.0
100851,2,4.0,2.0,47.0,23.5
100863,1,0.67,0.67,4.0,4.0
100866,1,1.44,1.44,12.0,12.0
100867,1,1.46,1.46,13.0,13.0
100879,1,0.86,0.86,11.0,11.0
100880,1,0.45,0.45,10.0,10.0
100886,2,2.49,1.25,53.0,26.5
100887,2,2.82,1.41,19.0,9.5
100896,1,0.29,0.29,26.0,26.0
100900,2,1.41,0.71,14.0,7.0
100901,1,0.45,0.45,22.0,22.0
100903,1,0.66,0.66,5.0,5.0
100904,2,1.72,0.86,11.0,5.5
100905,1,1.84,1.84,18.0,18.0
100906,1,1.62,1.62,13.0,13.0
100911,1,4.78,4.78,30.0,30.0
100914,1,0.8,0.8,7.0,7.0
