userid,R,F,M,R_SC,F_SC,M_SC
158,12,4,8.86,1.4905281454727919,-0.590922324999072,-0.08836298200399943
159,1,4,6.71,-0.5962606993748027,-0.590922324999072,-0.42250743974974025
160,15,1,0.15,2.059652375885772,-1.4539947293729687,-1.4420365759413962
161,2,6,16.44,-0.406552622570476,-0.01554072208314083,1.0896905015833107
162,1,4,7.09,-0.5962606993748027,-0.590922324999072,-0.36344934954351626
163,3,2,1.71,-0.2168445457661492,-1.1663039279150031,-1.1995875740421609
164,8,3,2.27,0.7316958382554847,-0.8786131264570376,-1.1125545990014098
165,6,5,8.72,0.3522796846468311,-0.3032315235411064,-0.11012122576418702
166,6,5,7.43,0.3522796846468311,-0.3032315235411064,-0.3106079004116317
167,3,1,1.63,-0.2168445457661492,-1.4539947293729687,-1.2120208561908397
168,4,5,12.03,-0.027136468961822417,-0.3032315235411064,0.40430582313739527
169,0,9,13.32,-0.7859687761791295,0.8475316822907559,0.60479249778484
170,10,1,1.32,1.1111119918641383,-1.4539947293729687,-1.2601998245169697
171,6,4,7.63,0.3522796846468311,-0.590922324999072,-0.2795246950399348
172,0,8,15.02,-0.7859687761791295,0.5598408808327904,0.8689997434442629
173,3,8,6.97,-0.2168445457661492,0.5598408808327904,-0.3820992727665344
174,9,2,0.89,0.9214039150598115,-1.1663039279150031,-1.3270287160661178
175,9,2,2.09,0.9214039150598115,-1.1663039279150031,-1.140529483835937
176,0,10,18.57,-0.7859687761791295,1.1352224837487215,1.4207266387918818
177,0,11,14.74,-0.7859687761791295,1.422913285206687,0.8254832559238875
178,2,1,0.52,-0.406552622570476,-1.4539947293729687,-1.3845326460037573
179,11,2,1.77,1.300820068668465,-1.1663039279150031,-1.190262612430652
180,6,3,12.23,0.3522796846468311,-0.8786131264570376,0.4353890285090923
181,4,3,2.58,-0.027136468961822417,-0.8786131264570376,-1.0643756306752796
182,1,5,12.65,-0.5962606993748027,-0.3032315235411064,0.5006637597896556
183,0,2,2.83,-0.7859687761791295,-1.1663039279150031,-1.0255216239606586
184,8,5,3.57,0.7316958382554847,-0.3032315235411064,-0.9105137640853804
