userid,R,F,M,R_SC,F_SC,M_SC
358,5,4,6.73,0.16257160784250435,-0.590922324999072,-0.4193991192125705
359,2,1,0.58,-0.406552622570476,-1.4539947293729687,-1.375207684392248
360,9,2,6.62,0.9214039150598115,-1.1663039279150031,-0.4364948821670038
361,12,2,0.73,1.4905281454727919,-1.1663039279150031,-1.3518952803634754
362,1,5,9.21,-0.5962606993748027,-0.3032315235411064,-0.03396737260352976
363,0,4,6.87,-0.7859687761791295,-0.590922324999072,-0.39764087545238275
364,1,2,1.57,-0.5962606993748027,-1.1663039279150031,-1.2213458178023486
365,8,6,15.03,0.7316958382554847,-0.01554072208314083,0.8705539037128477
366,3,2,1.61,-0.2168445457661492,-1.1663039279150031,-1.2151291767280092
367,1,6,8.22,-0.5962606993748027,-0.01554072208314083,-0.1878292391934291
368,7,4,7.2,0.5419877614511579,-0.590922324999072,-0.346353586589083
369,2,5,9.71,-0.406552622570476,-0.3032315235411064,0.043740640825712315
371,1,1,1.28,-0.5962606993748027,-1.4539947293729687,-1.2664164655913093
372,2,8,6.97,-0.406552622570476,0.5598408808327904,-0.3820992727665344
373,1,4,4.62,-0.5962606993748027,-0.590922324999072,-0.747326935883972
