userid,recency(day),frequency(次),total_distance(km),R_SC,F_SC,M_SC,cluster,level
13929,0,10,9.96,-0.7859687761791295,1.1352224837487217,0.0825946475403333,0,S
13930,6,4,3.95,0.3522796846468311,-0.590922324999072,-0.8514556738791564,2,A
13931,3,4,6.46,-0.2168445457661492,-0.590922324999072,-0.4613614464643613,2,A
13932,0,6,8.11,-0.7859687761791295,-0.0155407220831408,-0.2049250021478625,2,A
13933,9,1,2.4,0.9214039150598116,-1.4539947293729687,-1.0923505155098068,1,B
13934,1,6,16.36,-0.5962606993748027,-0.0155407220831408,1.0772572194346317,0,S
13935,0,7,9.13,-0.7859687761791295,0.2721500793748247,-0.0464006547522084,2,A
13936,8,4,6.66,0.7316958382554847,-0.590922324999072,-0.4302782410926644,2,A
13937,6,4,8.07,0.3522796846468311,-0.590922324999072,-0.2111416432222017,2,A
13938,2,4,3.14,-0.406552622570476,-0.590922324999072,-0.9773426556345284,2,A
13939,0,5,5.02,-0.7859687761791295,-0.3032315235411064,-0.6851605251405785,2,A
13940,6,3,7.87,0.3522796846468311,-0.8786131264570376,-0.2422248485938986,2,A
13942,1,3,5.0,-0.5962606993748027,-0.8786131264570376,-0.6882688456777482,2,A
13943,4,7,17.6,-0.0271364689618224,0.2721500793748247,1.2699730927391524,0,S
13944,5,5,10.21,0.1625716078425043,-0.3032315235411064,0.1214486542549543,2,A
13945,1,4,5.42,-0.5962606993748027,-0.590922324999072,-0.6229941143971848,2,A
13946,7,2,1.43,0.5419877614511579,-1.1663039279150031,-1.2431040615625366,2,A
13947,0,10,12.76,-0.7859687761791295,1.1352224837487217,0.5177595227440888,0,S
13948,0,10,12.43,-0.7859687761791295,1.1352224837487217,0.466472233880789,0,S
13949,0,3,5.73,-0.7859687761791295,-0.8786131264570376,-0.5748151460710547,2,A
13950,0,5,8.88,-0.7859687761791295,-0.3032315235411064,-0.0852546614668295,2,A
13951,2,7,14.65,-0.406552622570476,0.2721500793748247,0.8114958135066239,0,S
13952,0,4,4.59,-0.7859687761791295,-0.590922324999072,-0.7519894166897266,2,A
13953,0,2,3.49,-0.7859687761791295,-1.1663039279150031,-0.9229470462340592,2,A
13954,1,3,7.65,-0.5962606993748027,-0.8786131264570376,-0.276416374502765,2,A
13955,5,1,0.45,0.1625716078425043,-1.4539947293729687,-1.3954117678838511,2,A
13956,2,5,4.25,-0.406552622570476,-0.3032315235411064,-0.8048308658216112,2,A
13957,1,5,6.77,-0.5962606993748027,-0.3032315235411064,-0.4131824781382313,2,A
13958,10,1,2.03,1.1111119918641383,-1.4539947293729687,-1.1498544454474462,1,B
13959,0,3,4.07,-0.7859687761791295,-0.8786131264570376,-0.8328057506561384,2,A
13960,0,3,3.09,-0.7859687761791295,-0.8786131264570376,-0.9851134569774528,2,A
13961,3,4,5.74,-0.2168445457661492,-0.590922324999072,-0.5732609858024699,2,A
13962,10,2,1.71,1.1111119918641383,-1.1663039279150031,-1.1995875740421609,1,B
13963,4,3,3.22,-0.0271364689618224,-0.8786131264570376,-0.9649093734858498,2,A
